unit_no,signal_code,frozen_times,realtime_value,calendar_timestamp,filename,pentahocounter,batch_value
395001,sd1_v0_eventrecord_carnumber_tmscarnumber,"['2024-06-10 08:23:15', '2024-06-10 08:23:15', '2024-06-10 08:23:16', '2024-06-10 08:23:16', '2024-06-10 08:23:16', '2024-06-10 08:23:16', '2024-06-10 08:23:16', '2024-06-10 08:23:17', '2024-06-10 08:23:17', '2024-06-10 08:23:17', '2024-06-10 08:23:17', '2024-06-10 08:23:17', '2024-06-10 08:23:18', '2024-06-10 08:23:18', '2024-06-10 08:23:18', '2024-06-10 08:23:18', '2024-06-10 08:23:18', '2024-06-10 08:23:19', '2024-06-10 08:23:19', '2024-06-10 08:23:19', '2024-06-10 08:23:19', '2024-06-10 08:23:19', '2024-06-10 08:23:20', '2024-06-10 08:23:20', '2024-06-10 08:23:20']",0,2024-06-10 08:23:18.200,SD2406100627290-395001-SD1,16815.0,1.0
395001,sd1_v0_eventrecord_carnumber_tmscarnumber,"['2024-06-10 08:23:55', '2024-06-10 08:23:55', '2024-06-10 08:23:56', '2024-06-10 08:23:56', '2024-06-10 08:23:56', '2024-06-10 08:23:56', '2024-06-10 08:23:57', '2024-06-10 08:23:57', '2024-06-10 08:23:57', '2024-06-10 08:23:57', '2024-06-10 08:23:57', '2024-06-10 08:23:58', '2024-06-10 08:23:58', '2024-06-10 08:23:58', '2024-06-10 08:23:58', '2024-06-10 08:23:58', '2024-06-10 08:23:58', '2024-06-10 08:23:59', '2024-06-10 08:23:59', '2024-06-10 08:23:59', '2024-06-10 08:23:59', '2024-06-10 08:23:59', '2024-06-10 08:24:00', '2024-06-10 08:24:00']",0,2024-06-10 08:23:57.800,SD2406100627290-395001-SD1,17014.0,1.0
395001,sd1_v0_eventrecord_carnumber_tmscarnumber,[''],1,2024-06-10 08:26:04.200,SD2406100627290-395001-SD1,17650.0,0.0
395001,sd1_v0_eventrecord_carnumber_tmscarnumber,[''],1,2024-06-10 08:26:43.400,SD2406100627290-395001-SD1,17846.0,0.0
395001,sd1_v0_eventrecord_carnumber_tmscarnumber,[''],3,2024-06-10 08:28:15.800,SD2406100627290-395001-SD1,18310.0,0.0
395001,sd1_v0_eventrecord_carnumber_tmscarnumber,['2024-06-10 08:28:16'],4,2024-06-10 08:28:16.000,SD2406100627290-395001-SD1,18311.0,0.0
395001,sd1_v0_eventrecord_carnumber_tmscarnumber,['2024-06-10 08:28:16'],4,2024-06-10 08:28:16.200,SD2406100627290-395001-SD1,18312.0,0.0
395001,sd1_v0_eventrecord_carnumber_tmscarnumber,['2024-06-10 08:28:16'],2,2024-06-10 08:28:16.400,SD2406100627290-395001-SD1,18313.0,0.0
395001,sd1_v0_eventrecord_carnumber_tmscarnumber,['2024-06-10 08:28:16'],2,2024-06-10 08:28:16.600,SD2406100627290-395001-SD1,18314.0,0.0
395001,sd1_v0_eventrecord_carnumber_tmscarnumber,[''],3,2024-06-10 08:28:17.000,SD2406100627290-395001-SD1,18316.0,0.0
395001,sd1_v0_eventrecord_carnumber_tmscarnumber,[''],1,2024-06-10 08:28:19.800,SD2406100627290-395001-SD1,18330.0,0.0
395001,sd1_v0_eventrecord_carnumber_tmscarnumber,[''],6,2024-06-10 08:28:38.000,SD2406100627290-395001-SD1,18422.0,0.0
395001,sd1_v0_eventrecord_carnumber_tmscarnumber,['2024-06-10 08:28:38'],6,2024-06-10 08:28:38.400,SD2406100627290-395001-SD1,18424.0,0.0
395001,sd1_v0_eventrecord_carnumber_tmscarnumber,['2024-06-10 08:28:38'],6,2024-06-10 08:28:38.600,SD2406100627290-395001-SD1,18425.0,0.0
395001,sd1_v0_eventrecord_carnumber_tmscarnumber,"['2024-06-10 08:29:05', '2024-06-10 08:29:05', '2024-06-10 08:29:06', '2024-06-10 08:29:06', '2024-06-10 08:29:06', '2024-06-10 08:29:06', '2024-06-10 08:29:06', '2024-06-10 08:29:07', '2024-06-10 08:29:07', '2024-06-10 08:29:07', '2024-06-10 08:29:07', '2024-06-10 08:29:07', '2024-06-10 08:29:08', '2024-06-10 08:29:08', '2024-06-10 08:29:08', '2024-06-10 08:29:08', '2024-06-10 08:29:08', '2024-06-10 08:29:09', '2024-06-10 08:29:09', '2024-06-10 08:29:09', '2024-06-10 08:29:09', '2024-06-10 08:29:09', '2024-06-10 08:29:10', '2024-06-10 08:29:10']",0,2024-06-10 08:29:06.800,,,
